# CREATED BY GENE DIAGNOSTICS TOOL on Fri Dec 11 19:26:24 2020
# diag: timetrace, run(s): 0029, time window: 0-1500(1592 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/LHD_s0.25_alpha-0_npol3_nz0768/
# normalization: L_ref=1.65m
#
#  t          Re[phi]     Im[phi]   
  0.0000E+00  9.9998E-01  0.0000E+00
  9.4300E-01  9.0227E-01 -6.0109E-04
  1.8860E+00  7.8853E-01 -1.1438E-03
  2.8290E+00  6.5750E-01 -1.6145E-03
  3.7720E+00  5.2148E-01 -1.9462E-03
  4.7150E+00  4.0362E-01 -2.1089E-03
  5.6580E+00  3.0916E-01 -2.0991E-03
  6.6010E+00  2.3815E-01 -1.9538E-03
  7.5440E+00  1.8713E-01 -1.7173E-03
  8.4870E+00  1.5138E-01 -1.4476E-03
  9.4300E+00  1.2661E-01 -1.1791E-03
  1.0373E+01  1.0925E-01 -9.4596E-04
  1.1316E+01  9.6900E-02 -7.5746E-04
  1.2259E+01  8.8421E-02 -6.1835E-04
  1.3202E+01  8.2141E-02 -4.8208E-04
  1.4145E+01  7.5382E-02 -4.2462E-04
  1.5088E+01  6.9559E-02 -3.0343E-04
  1.6031E+01  6.7793E-02 -2.2308E-04
  1.6974E+01  6.5496E-02 -1.5787E-04
  1.7917E+01  6.4794E-02 -1.6922E-04
  1.8860E+01  6.3836E-02 -2.4504E-04
  1.9803E+01  6.4906E-02 -4.0878E-04
  2.0746E+01  6.6419E-02 -6.2504E-04
  2.1689E+01  6.7152E-02 -8.8932E-04
  2.2632E+01  6.7069E-02 -1.1247E-03
  2.3575E+01  6.5122E-02 -1.2881E-03
  2.4518E+01  6.0825E-02 -1.3669E-03
  2.5461E+01  5.4194E-02 -1.3326E-03
  2.6404E+01  4.5518E-02 -1.1903E-03
  2.7347E+01  3.5317E-02 -9.6396E-04
  2.8290E+01  2.4324E-02 -6.8691E-04
  2.9233E+01  1.3689E-02 -3.7143E-04
  3.0176E+01  3.5356E-03 -6.1891E-05
  3.1119E+01 -5.4215E-03  2.1762E-04
  3.2062E+01 -1.3080E-02  4.3927E-04
  3.3005E+01 -1.8721E-02  6.2479E-04
  3.3948E+01 -2.2229E-02  7.2913E-04
  3.4891E+01 -2.3982E-02  7.8689E-04
  3.5834E+01 -2.3956E-02  7.7011E-04
  3.6777E+01 -2.2983E-02  7.3897E-04
  3.7720E+01 -2.0949E-02  6.6796E-04
  3.8663E+01 -1.8590E-02  5.3802E-04
  3.9606E+01 -1.5232E-02  4.5008E-04
  4.0549E+01 -1.1399E-02  3.0704E-04
  4.1492E+01 -7.0214E-03  1.7368E-04
  4.2435E+01 -2.3023E-03  3.8743E-05
  4.3378E+01  2.5579E-03 -1.0342E-04
  4.4321E+01  6.9676E-03 -2.4753E-04
  4.5264E+01  1.1333E-02 -3.7816E-04
  4.6207E+01  1.5113E-02 -5.1511E-04
  4.7150E+01  1.8755E-02 -6.2796E-04
  4.8093E+01  2.2181E-02 -7.4490E-04
  4.9036E+01  2.5476E-02 -8.5418E-04
  4.9979E+01  2.8879E-02 -9.6400E-04
  5.0922E+01  3.2043E-02 -1.0594E-03
  5.1865E+01  3.4995E-02 -1.1357E-03
  5.2808E+01  3.7864E-02 -1.2070E-03
  5.3751E+01  4.0554E-02 -1.2876E-03
  5.4694E+01  4.3167E-02 -1.3599E-03
  5.5637E+01  4.5551E-02 -1.4279E-03
  5.6580E+01  4.7539E-02 -1.4799E-03
  5.7523E+01  4.9257E-02 -1.5209E-03
  5.8466E+01  5.0875E-02 -1.5572E-03
  5.9409E+01  5.2404E-02 -1.6027E-03
  6.0352E+01  5.3726E-02 -1.6422E-03
  6.1295E+01  5.4790E-02 -1.6589E-03
  6.2238E+01  5.5523E-02 -1.6537E-03
  6.3181E+01  5.5922E-02 -1.6294E-03
  6.4124E+01  5.6183E-02 -1.6073E-03
  6.5067E+01  5.6419E-02 -1.5881E-03
  6.6010E+01  5.6638E-02 -1.5754E-03
  6.6953E+01  5.6734E-02 -1.5597E-03
  6.7896E+01  5.6650E-02 -1.5367E-03
  6.8839E+01  5.6288E-02 -1.4981E-03
  6.9782E+01  5.5698E-02 -1.4493E-03
  7.0725E+01  5.5002E-02 -1.3934E-03
  7.1668E+01  5.4319E-02 -1.3423E-03
  7.2611E+01  5.3721E-02 -1.2979E-03
  7.3554E+01  5.3184E-02 -1.2691E-03
  7.4497E+01  5.2624E-02 -1.2473E-03
  7.5440E+01  5.2019E-02 -1.2298E-03
  7.6383E+01  5.1330E-02 -1.2126E-03
  7.7326E+01  5.0561E-02 -1.1873E-03
  7.8269E+01  4.9824E-02 -1.1612E-03
  7.9212E+01  4.9131E-02 -1.1329E-03
  8.0155E+01  4.8531E-02 -1.1109E-03
  8.1098E+01  4.8032E-02 -1.0981E-03
  8.2041E+01  4.7631E-02 -1.0969E-03
  8.2984E+01  4.7306E-02 -1.1051E-03
  8.3927E+01  4.7045E-02 -1.1188E-03
  8.4870E+01  4.6846E-02 -1.1347E-03
  8.5813E+01  4.6695E-02 -1.1481E-03
  8.6756E+01  4.6578E-02 -1.1617E-03
  8.7699E+01  4.6435E-02 -1.1723E-03
  8.8642E+01  4.6254E-02 -1.1833E-03
  8.9585E+01  4.5988E-02 -1.1937E-03
  9.0528E+01  4.5663E-02 -1.2064E-03
  9.1471E+01  4.5290E-02 -1.2213E-03
  9.2414E+01  4.4898E-02 -1.2375E-03
  9.3357E+01  4.4513E-02 -1.2548E-03
  9.4300E+01  4.4165E-02 -1.2750E-03
  9.5243E+01  4.3857E-02 -1.2962E-03
  9.6186E+01  4.3597E-02 -1.3197E-03
  9.7129E+01  4.3379E-02 -1.3446E-03
  9.8072E+01  4.3186E-02 -1.3692E-03
  9.9015E+01  4.3023E-02 -1.3943E-03
  9.9958E+01  4.2900E-02 -1.4193E-03
  1.0090E+02  4.2840E-02 -1.4443E-03
  1.0184E+02  4.2854E-02 -1.4671E-03
  1.0279E+02  4.2949E-02 -1.4878E-03
  1.0373E+02  4.3120E-02 -1.5064E-03
  1.0467E+02  4.3363E-02 -1.5240E-03
  1.0562E+02  4.3671E-02 -1.5405E-03
  1.0656E+02  4.4051E-02 -1.5565E-03
  1.0750E+02  4.4510E-02 -1.5725E-03
  1.0845E+02  4.5047E-02 -1.5889E-03
  1.0939E+02  4.5646E-02 -1.6062E-03
  1.1033E+02  4.6275E-02 -1.6236E-03
  1.1127E+02  4.6907E-02 -1.6412E-03
  1.1222E+02  4.7514E-02 -1.6575E-03
  1.1316E+02  4.8086E-02 -1.6724E-03
  1.1410E+02  4.8617E-02 -1.6858E-03
  1.1505E+02  4.9104E-02 -1.6974E-03
  1.1599E+02  4.9539E-02 -1.7072E-03
  1.1693E+02  4.9909E-02 -1.7148E-03
  1.1788E+02  5.0209E-02 -1.7210E-03
  1.1882E+02  5.0431E-02 -1.7263E-03
  1.1976E+02  5.0578E-02 -1.7313E-03
  1.2070E+02  5.0660E-02 -1.7365E-03
  1.2165E+02  5.0683E-02 -1.7417E-03
  1.2259E+02  5.0643E-02 -1.7466E-03
  1.2353E+02  5.0533E-02 -1.7511E-03
  1.2448E+02  5.0351E-02 -1.7553E-03
  1.2542E+02  5.0095E-02 -1.7591E-03
  1.2636E+02  4.9778E-02 -1.7632E-03
  1.2731E+02  4.9410E-02 -1.7672E-03
  1.2825E+02  4.9005E-02 -1.7713E-03
  1.2919E+02  4.8569E-02 -1.7753E-03
  1.3013E+02  4.8106E-02 -1.7793E-03
  1.3108E+02  4.7616E-02 -1.7831E-03
  1.3202E+02  4.7102E-02 -1.7871E-03
  1.3296E+02  4.6569E-02 -1.7913E-03
  1.3391E+02  4.6026E-02 -1.7959E-03
  1.3485E+02  4.5480E-02 -1.8009E-03
  1.3579E+02  4.4936E-02 -1.8062E-03
  1.3674E+02  4.4404E-02 -1.8118E-03
  1.3768E+02  4.3884E-02 -1.8175E-03
  1.3862E+02  4.3375E-02 -1.8233E-03
  1.3956E+02  4.2878E-02 -1.8291E-03
  1.4051E+02  4.2394E-02 -1.8350E-03
  1.4145E+02  4.1929E-02 -1.8412E-03
  1.4239E+02  4.1494E-02 -1.8477E-03
  1.4334E+02  4.1098E-02 -1.8546E-03
  1.4428E+02  4.0748E-02 -1.8619E-03
  1.4522E+02  4.0443E-02 -1.8695E-03
  1.4617E+02  4.0184E-02 -1.8775E-03
  1.4711E+02  3.9971E-02 -1.8860E-03
  1.4805E+02  3.9802E-02 -1.8950E-03
  1.4899E+02  3.9679E-02 -1.9044E-03
  1.4994E+02  3.9599E-02 -1.9145E-03
  1.5088E+02  3.9556E-02 -1.9253E-03
  1.5182E+02  3.9551E-02 -1.9366E-03
  1.5277E+02  3.9582E-02 -1.9485E-03
  1.5371E+02  3.9649E-02 -1.9608E-03
  1.5465E+02  3.9749E-02 -1.9734E-03
  1.5560E+02  3.9881E-02 -1.9864E-03
  1.5654E+02  4.0042E-02 -1.9997E-03
  1.5748E+02  4.0226E-02 -2.0134E-03
  1.5842E+02  4.0429E-02 -2.0274E-03
  1.5937E+02  4.0650E-02 -2.0417E-03
  1.6031E+02  4.0887E-02 -2.0561E-03
  1.6125E+02  4.1139E-02 -2.0706E-03
  1.6220E+02  4.1408E-02 -2.0851E-03
  1.6314E+02  4.1693E-02 -2.0994E-03
  1.6408E+02  4.1990E-02 -2.1136E-03
  1.6503E+02  4.2292E-02 -2.1275E-03
  1.6597E+02  4.2591E-02 -2.1413E-03
  1.6691E+02  4.2885E-02 -2.1548E-03
  1.6785E+02  4.3176E-02 -2.1681E-03
  1.6880E+02  4.3470E-02 -2.1810E-03
  1.6974E+02  4.3764E-02 -2.1937E-03
  1.7068E+02  4.4052E-02 -2.2060E-03
  1.7163E+02  4.4327E-02 -2.2180E-03
  1.7257E+02  4.4583E-02 -2.2295E-03
  1.7351E+02  4.4818E-02 -2.2406E-03
  1.7446E+02  4.5038E-02 -2.2514E-03
  1.7540E+02  4.5248E-02 -2.2617E-03
  1.7634E+02  4.5445E-02 -2.2717E-03
  1.7728E+02  4.5625E-02 -2.2814E-03
  1.7823E+02  4.5788E-02 -2.2906E-03
  1.7917E+02  4.5931E-02 -2.2996E-03
  1.8011E+02  4.6058E-02 -2.3082E-03
  1.8106E+02  4.6172E-02 -2.3165E-03
  1.8200E+02  4.6272E-02 -2.3245E-03
  1.8294E+02  4.6356E-02 -2.3323E-03
  1.8389E+02  4.6424E-02 -2.3400E-03
  1.8483E+02  4.6475E-02 -2.3474E-03
  1.8577E+02  4.6509E-02 -2.3547E-03
  1.8671E+02  4.6530E-02 -2.3618E-03
  1.8766E+02  4.6541E-02 -2.3688E-03
  1.8860E+02  4.6540E-02 -2.3757E-03
  1.8954E+02  4.6526E-02 -2.3826E-03
  1.9049E+02  4.6498E-02 -2.3894E-03
  1.9143E+02  4.6456E-02 -2.3962E-03
  1.9237E+02  4.6402E-02 -2.4031E-03
  1.9332E+02  4.6342E-02 -2.4100E-03
  1.9426E+02  4.6283E-02 -2.4169E-03
  1.9520E+02  4.6226E-02 -2.4240E-03
  1.9614E+02  4.6170E-02 -2.4313E-03
  1.9709E+02  4.6112E-02 -2.4387E-03
  1.9803E+02  4.6051E-02 -2.4463E-03
  1.9897E+02  4.5987E-02 -2.4541E-03
  1.9992E+02  4.5927E-02 -2.4622E-03
  2.0086E+02  4.5873E-02 -2.4705E-03
  2.0180E+02  4.5825E-02 -2.4791E-03
  2.0275E+02  4.5780E-02 -2.4879E-03
  2.0369E+02  4.5734E-02 -2.4969E-03
  2.0463E+02  4.5686E-02 -2.5062E-03
  2.0557E+02  4.5641E-02 -2.5157E-03
  2.0652E+02  4.5599E-02 -2.5254E-03
  2.0746E+02  4.5561E-02 -2.5353E-03
  2.0840E+02  4.5525E-02 -2.5455E-03
  2.0935E+02  4.5489E-02 -2.5557E-03
  2.1029E+02  4.5453E-02 -2.5662E-03
  2.1123E+02  4.5415E-02 -2.5767E-03
  2.1218E+02  4.5379E-02 -2.5873E-03
  2.1312E+02  4.5344E-02 -2.5981E-03
  2.1406E+02  4.5304E-02 -2.6088E-03
  2.1500E+02  4.5258E-02 -2.6197E-03
  2.1595E+02  4.5207E-02 -2.6305E-03
  2.1689E+02  4.5151E-02 -2.6413E-03
  2.1783E+02  4.5090E-02 -2.6521E-03
  2.1878E+02  4.5025E-02 -2.6629E-03
  2.1972E+02  4.4956E-02 -2.6736E-03
  2.2066E+02  4.4881E-02 -2.6843E-03
  2.2161E+02  4.4799E-02 -2.6948E-03
  2.2255E+02  4.4710E-02 -2.7053E-03
  2.2349E+02  4.4616E-02 -2.7156E-03
  2.2443E+02  4.4517E-02 -2.7258E-03
  2.2538E+02  4.4417E-02 -2.7358E-03
  2.2632E+02  4.4315E-02 -2.7457E-03
  2.2726E+02  4.4211E-02 -2.7554E-03
  2.2821E+02  4.4102E-02 -2.7649E-03
  2.2915E+02  4.3988E-02 -2.7742E-03
  2.3009E+02  4.3869E-02 -2.7833E-03
  2.3104E+02  4.3748E-02 -2.7922E-03
  2.3198E+02  4.3628E-02 -2.8009E-03
  2.3292E+02  4.3508E-02 -2.8093E-03
  2.3386E+02  4.3388E-02 -2.8176E-03
  2.3481E+02  4.3267E-02 -2.8258E-03
  2.3575E+02  4.3145E-02 -2.8337E-03
  2.3669E+02  4.3022E-02 -2.8415E-03
