# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:31:01 2020
# diag: gamdiag, run(s): 0025, time window: 0-1500(1543 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
# xind= 0, x/a= 0.5, q= -2.1464562
# Fit:    0.047481956,64.666712,-6.9492445
# Analytic (Gao, Zhou/Yu): 0.078523524,0.36211323,4.1062285
#  t          Re[phi]     Im[phi]   
  0.0000E+00  9.9998E-01  0.0000E+00
  9.7300E-01  9.0137E-01 -2.2046E-03
  1.9460E+00  7.7982E-01 -4.1310E-03
  2.9190E+00  6.3221E-01 -5.7118E-03
  3.8920E+00  4.8047E-01 -6.7297E-03
  4.8650E+00  3.4948E-01 -7.0925E-03
  5.8380E+00  2.4644E-01 -6.8102E-03
  6.8110E+00  1.7197E-01 -6.0271E-03
  7.7840E+00  1.2183E-01 -4.9244E-03
  8.7570E+00  9.0231E-02 -3.7298E-03
  9.7300E+00  7.1701E-02 -2.6222E-03
  1.0703E+01  6.1557E-02 -1.7133E-03
  1.1676E+01  5.6615E-02 -1.0343E-03
  1.2649E+01  5.5291E-02 -6.0144E-04
  1.3622E+01  5.3763E-02 -2.6589E-04
  1.4595E+01  5.2356E-02 -2.3759E-04
  1.5568E+01  5.2571E-02 -1.1002E-04
  1.6541E+01  5.3961E-02 -3.3013E-04
  1.7514E+01  5.4982E-02 -6.9783E-04
  1.8487E+01  5.4571E-02 -1.2902E-03
  1.9460E+01  5.3852E-02 -1.8950E-03
  2.0433E+01  5.1868E-02 -2.3977E-03
  2.1406E+01  4.6918E-02 -2.7204E-03
  2.2379E+01  4.0315E-02 -2.7081E-03
  2.3352E+01  3.1435E-02 -2.3052E-03
  2.4325E+01  2.0654E-02 -1.5883E-03
  2.5298E+01  8.9460E-03 -6.1840E-04
  2.6271E+01 -2.8278E-03  4.8901E-04
  2.7244E+01 -1.3544E-02  1.5643E-03
  2.8217E+01 -2.2255E-02  2.4901E-03
  2.9190E+01 -2.8606E-02  3.2375E-03
  3.0163E+01 -3.2207E-02  3.7090E-03
  3.1136E+01 -3.3107E-02  3.8740E-03
  3.2109E+01 -3.1583E-02  3.7349E-03
  3.3082E+01 -2.8245E-02  3.4108E-03
  3.4055E+01 -2.3246E-02  2.8611E-03
  3.5028E+01 -1.7298E-02  2.2305E-03
  3.6001E+01 -9.3787E-03  1.4276E-03
  3.6974E+01 -2.0317E-03  7.0928E-04
  3.7947E+01  5.3330E-03 -3.2483E-05
  3.8920E+01  1.2717E-02 -8.1928E-04
  3.9893E+01  1.8400E-02 -1.4255E-03
  4.0866E+01  2.3919E-02 -2.0363E-03
  4.1839E+01  2.9029E-02 -2.5706E-03
  4.2812E+01  3.3606E-02 -2.9950E-03
  4.3785E+01  3.8470E-02 -3.4039E-03
  4.4758E+01  4.2589E-02 -3.7115E-03
  4.5731E+01  4.6476E-02 -3.9965E-03
  4.6704E+01  4.9613E-02 -4.2138E-03
  4.7677E+01  5.2112E-02 -4.3772E-03
  4.8650E+01  5.4224E-02 -4.5426E-03
  4.9623E+01  5.5749E-02 -4.6659E-03
  5.0596E+01  5.7279E-02 -4.7906E-03
  5.1569E+01  5.8509E-02 -4.8526E-03
  5.2542E+01  5.9648E-02 -4.8974E-03
  5.3515E+01  6.0971E-02 -4.9359E-03
  5.4488E+01  6.2054E-02 -4.9501E-03
  5.5461E+01  6.2883E-02 -4.9132E-03
  5.6434E+01  6.3451E-02 -4.8567E-03
  5.7407E+01  6.3373E-02 -4.7457E-03
  5.8380E+01  6.2810E-02 -4.6129E-03
  5.9353E+01  6.1982E-02 -4.4658E-03
  6.0326E+01  6.0923E-02 -4.3000E-03
  6.1299E+01  5.9557E-02 -4.0785E-03
  6.2272E+01  5.8005E-02 -3.8059E-03
  6.3245E+01  5.6480E-02 -3.5262E-03
  6.4218E+01  5.5096E-02 -3.2512E-03
  6.5191E+01  5.3968E-02 -3.0194E-03
  6.6164E+01  5.3006E-02 -2.8261E-03
  6.7137E+01  5.2038E-02 -2.6646E-03
  6.8110E+01  5.0978E-02 -2.5081E-03
  6.9083E+01  4.9895E-02 -2.3618E-03
  7.0056E+01  4.8851E-02 -2.2228E-03
  7.1029E+01  4.7836E-02 -2.0966E-03
  7.2002E+01  4.6852E-02 -2.0117E-03
  7.2975E+01  4.5906E-02 -1.9716E-03
  7.3948E+01  4.5028E-02 -1.9699E-03
  7.4921E+01  4.4380E-02 -2.0062E-03
  7.5894E+01  4.3969E-02 -2.0414E-03
  7.6867E+01  4.3787E-02 -2.0797E-03
  7.7840E+01  4.3598E-02 -2.1124E-03
  7.8813E+01  4.3267E-02 -2.1457E-03
  7.9786E+01  4.2827E-02 -2.1985E-03
  8.0759E+01  4.2463E-02 -2.2789E-03
  8.1732E+01  4.2392E-02 -2.3871E-03
  8.2705E+01  4.2725E-02 -2.5212E-03
  8.3678E+01  4.3357E-02 -2.6680E-03
  8.4651E+01  4.4029E-02 -2.8155E-03
  8.5624E+01  4.4516E-02 -2.9592E-03
  8.6597E+01  4.4737E-02 -3.0950E-03
  8.7570E+01  4.4808E-02 -3.2228E-03
  8.8543E+01  4.4932E-02 -3.3437E-03
  8.9516E+01  4.5300E-02 -3.4579E-03
  9.0489E+01  4.5957E-02 -3.5700E-03
  9.1462E+01  4.6776E-02 -3.6727E-03
  9.2435E+01  4.7631E-02 -3.7748E-03
  9.3408E+01  4.8356E-02 -3.8652E-03
  9.4381E+01  4.8924E-02 -3.9505E-03
  9.5354E+01  4.9387E-02 -4.0309E-03
  9.6327E+01  4.9817E-02 -4.1045E-03
  9.7300E+01  5.0282E-02 -4.1703E-03
  9.8273E+01  5.0791E-02 -4.2273E-03
  9.9246E+01  5.1303E-02 -4.2769E-03
  1.0022E+02  5.1734E-02 -4.3164E-03
  1.0119E+02  5.2015E-02 -4.3460E-03
  1.0217E+02  5.2098E-02 -4.3635E-03
  1.0314E+02  5.1981E-02 -4.3691E-03
  1.0411E+02  5.1694E-02 -4.3631E-03
  1.0508E+02  5.1281E-02 -4.3487E-03
  1.0606E+02  5.0777E-02 -4.3274E-03
  1.0703E+02  5.0209E-02 -4.3030E-03
  1.0800E+02  4.9598E-02 -4.2768E-03
  1.0898E+02  4.8972E-02 -4.2544E-03
  1.0995E+02  4.8338E-02 -4.2351E-03
  1.1092E+02  4.7694E-02 -4.2195E-03
  1.1190E+02  4.7041E-02 -4.2049E-03
  1.1287E+02  4.6404E-02 -4.1905E-03
  1.1384E+02  4.5811E-02 -4.1761E-03
