# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:38:48 2020
# diag: timetrace, run(s): 0029, time window: 0-1500(1592 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
#  t          Re[phi]     Im[phi]   
  0.0000E+00  9.9998E-01  0.0000E+00
  9.4300E-01  9.0304E-01 -1.9663E-03
  1.8860E+00  7.8911E-01 -3.7110E-03
  2.8290E+00  6.5875E-01 -5.2277E-03
  3.7720E+00  5.2336E-01 -6.2915E-03
  4.7150E+00  4.0604E-01 -6.8098E-03
  5.6580E+00  3.1195E-01 -6.7740E-03
  6.6010E+00  2.4103E-01 -6.3085E-03
  7.5440E+00  1.8982E-01 -5.5398E-03
  8.4870E+00  1.5370E-01 -4.6533E-03
  9.4300E+00  1.2847E-01 -3.7664E-03
  1.0373E+01  1.1067E-01 -2.9936E-03
  1.1316E+01  9.8038E-02 -2.3708E-03
  1.2259E+01  8.9390E-02 -1.9223E-03
  1.3202E+01  8.2653E-02 -1.5487E-03
  1.4145E+01  7.5248E-02 -1.3358E-03
  1.5088E+01  7.0553E-02 -1.0285E-03
  1.6031E+01  6.8227E-02 -7.7149E-04
  1.6974E+01  6.5598E-02 -5.5776E-04
  1.7917E+01  6.4834E-02 -5.9407E-04
  1.8860E+01  6.3608E-02 -8.3579E-04
  1.9803E+01  6.4682E-02 -1.3617E-03
  2.0746E+01  6.6142E-02 -2.0381E-03
  2.1689E+01  6.6556E-02 -2.8724E-03
  2.2632E+01  6.6302E-02 -3.6178E-03
  2.3575E+01  6.4173E-02 -4.1321E-03
  2.4518E+01  5.9710E-02 -4.3732E-03
  2.5461E+01  5.2881E-02 -4.2535E-03
  2.6404E+01  4.3919E-02 -3.7854E-03
  2.7347E+01  3.3758E-02 -3.0690E-03
  2.8290E+01  2.3145E-02 -2.1856E-03
  2.9233E+01  1.2460E-02 -1.1787E-03
  3.0176E+01  2.3623E-03 -1.8625E-04
  3.1119E+01 -6.6159E-03  7.0292E-04
  3.2062E+01 -1.3986E-02  1.4307E-03
  3.3005E+01 -1.9591E-02  2.0128E-03
  3.3948E+01 -2.3119E-02  2.3739E-03
  3.4891E+01 -2.5038E-02  2.5552E-03
  3.5834E+01 -2.4822E-02  2.5236E-03
  3.6777E+01 -2.3800E-02  2.4012E-03
  3.7720E+01 -2.2365E-02  2.2091E-03
  3.8663E+01 -1.9133E-02  1.7736E-03
  3.9606E+01 -1.6480E-02  1.4731E-03
  4.0549E+01 -1.2324E-02  1.0225E-03
  4.1492E+01 -7.8726E-03  5.8127E-04
  4.2435E+01 -3.1691E-03  1.2086E-04
  4.3378E+01  1.5544E-03 -3.3883E-04
  4.4321E+01  6.3149E-03 -8.2892E-04
  4.5264E+01  1.0431E-02 -1.2655E-03
  4.6207E+01  1.4524E-02 -1.7100E-03
  4.7150E+01  1.8118E-02 -2.1005E-03
  4.8093E+01  2.1627E-02 -2.4749E-03
  4.9036E+01  2.4980E-02 -2.8489E-03
  4.9979E+01  2.8208E-02 -3.1999E-03
  5.0922E+01  3.1463E-02 -3.5139E-03
  5.1865E+01  3.4412E-02 -3.7591E-03
